disease,name,n_terms,ic_moved,informative_pairs,pairs_moved,mean_abs_dlin,max_abs_dlin
OMIM:603278,Focal segmental glomerulosclerosis 1,12,7,20,20,0.0044,0.024
OMIM:616323,"Myasthenic syndrome, congenital, 3C, associated with acetylcholine receptor deficiency",12,10,14,14,0.0044,0.028
OMIM:618851,Combined oxidative phosphorylation deficiency 43,13,5,15,15,0.0043,0.024
OMIM:617341,Cerebroretinal microangiopathy with calcifications and cysts 2,16,12,23,23,0.0042,0.017
OMIM:620010,"Cholestasis, progressive familial intrahepatic, 12",13,9,22,22,0.0042,0.014
OMIM:618955,Retinitis pigmentosa 89,13,9,26,26,0.0042,0.017
OMIM:612649,"Ciliary dyskinesia, primary, 11",13,6,37,37,0.0042,0.057
OMIM:210500,"Biliary atresia, extrahepatic",12,5,38,38,0.0042,0.018
OMIM:607602,"Ichthyosis, cyclic, with epidermolytic hyperkeratosis",13,8,78,78,0.0042,0.02
OMIM:617406,Bardet-Biedl syndrome 21,18,12,47,47,0.0042,0.041
OMIM:614262,"Arthrogryposis, perthes disease, and upward gaze palsy",12,6,10,10,0.0041,0.034
OMIM:614500,Cone-Rod dystrophy 16,13,9,66,66,0.0041,0.041
OMIM:619170,"Mitochondrial complex I deficiency, nuclear type 36",18,9,37,37,0.0041,0.039
OMIM:608649,Ichthyosis prematurity syndrome,15,8,47,47,0.004,0.036
OMIM:616249,Long QT syndrome 15,12,5,56,56,0.004,0.107
OMIM:612718,Cerebral creatine deficiency syndrome 3,16,6,43,43,0.004,0.1
OMIM:616868,"Diarrhea 8, secretory sodium, congenital",13,4,49,49,0.0039,0.014
OMIM:105200,"Amyloidosis, familial visceral",13,11,22,22,0.0039,0.031
OMIM:617020,"Epileptic encephalopathy, early infantile, 38",18,7,50,50,0.0038,0.021
OMIM:231530,3-Hydroxyacyl-Coa dehydrogenase deficiency,15,10,24,24,0.0038,0.025
OMIM:604801,"Muscular dystrophy, congenital, 1B",14,6,56,56,0.0038,0.171
OMIM:194380,Dehydrated hereditary stomatocytosis 1 with or without pseudohyperkalemia and/or perinatal edema,13,7,18,18,0.0038,0.01
OMIM:614870,Peroxisome biogenesis disorder 6A (Zellweger),13,8,12,12,0.0037,0.027
OMIM:618224,"Mitochondrial complex I deficiency, nuclear type 3",16,15,48,48,0.0036,0.018
OMIM:312700,"Retinoschisis 1, X-linked, juvenile",12,8,66,66,0.0036,0.015
OMIM:619793,Restrictive dermopathy 2,16,11,15,15,0.0035,0.024
OMIM:618770,"Spastic paraplegia 82, autosomal recessive",14,11,58,58,0.0035,0.02
OMIM:618567,Mitochondrial DNA depletion syndrome 17,16,10,55,55,0.0035,0.108
OMIM:607361,Meckel syndrome 3,12,7,20,20,0.0035,0.018
OMIM:300559,"Muscle glycogenosis, X-linked",18,10,76,76,0.0035,0.178
OMIM:619228,Developmental delay with dysmorphic facies and dental anomalies,14,14,80,80,0.0035,0.02
OMIM:619862,"Spinocerebellar ataxia, autosomal recessive 32",17,12,73,73,0.0034,0.161
OMIM:620201,"Congenital disorder of glycosylation, type IIz",12,7,27,27,0.0034,0.018
OMIM:609241,"Schindler disease, type I",17,12,38,38,0.0034,0.018
OMIM:620379,"Spastic paraplegia 89, autosomal recessive",14,12,57,57,0.0034,0.02
OMIM:619064,"Mitochondrial complex IV deficiency, nuclear type 20",17,7,20,20,0.0034,0.039
OMIM:251240,Microcephaly with chemotactic defect and transient hypogammaglobulinemia,12,7,17,17,0.0033,0.035
OMIM:616738,Radioulnar synostosis with amegakaryocytic thrombocytopenia 2,14,8,13,13,0.0033,0.028
OMIM:616370,Multiple mitochondrial dysfunctions syndrome 4,13,9,32,32,0.0033,0.014
OMIM:618229,"Mitochondrial complex I deficiency, nuclear type 7",14,12,17,17,0.0033,0.013
OMIM:615119,"Mitochondrial complex IV deficiency, nuclear type 6",17,15,24,24,0.0033,0.014
OMIM:204500,"Ceroid lipofuscinosis, neuronal, 2",14,10,40,40,0.0033,0.02
OMIM:600143,"Ceroid lipofuscinosis, neuronal, 8",13,11,46,46,0.0033,0.02
OMIM:619423,Combined oxidative phosphorylation deficiency 53,18,14,38,38,0.0032,0.013
OMIM:610678,Combined oxidative phosphorylation deficiency 4,16,14,30,30,0.0032,0.013
OMIM:309530,"Intellectual developmental disorder, X-linked 1",15,13,59,59,0.0032,0.02
OMIM:620342,Cone-rod dystrophy 24,13,9,78,78,0.0032,0.018
OMIM:300607,Developmental and epileptic encephalopathy 8,13,6,46,46,0.0032,0.018
OMIM:230350,Galactose epimerase deficiency,16,13,19,19,0.0031,0.009
