disease,name,database,n_raw_terms,n_retained_terms,n_missing_old,n_missing_new,n_obsolete,n_out_of_domain,n_ic_changed,n_pairs,n_informative_pairs,n_root_only_pairs,n_pairs_changed,n_pairs_abs_delta_gt_0.01,n_pairs_abs_delta_gt_0.1,mean_abs_dlin,max_abs_dlin,status
OMIM:619382,"Leber hereditary optic neuropathy, autosomal recessive",OMIM,5,5,0,0,0,0,2,10,10,0,10,0,0,0.002381,0.009429,RANKABLE
OMIM:240000,"Hyperuricemia, infantile, with abnormal behavior and normal hypoxanthineguanine phosphoribosyltransferase",OMIM,6,6,0,0,0,0,2,15,3,12,3,0,0,0.001921,0.003811,RANKABLE
OMIM:613877,"Lipodystrophy, familial partial, type 4",OMIM,11,11,0,0,0,0,8,55,10,45,10,0,0,0.001547,0.002374,RANKABLE
OMIM:620265,"Congenital myopathy 2B, severe infantile, autosomal recessive",OMIM,15,15,0,0,0,0,8,105,31,74,31,1,0,0.001365,0.027740,RANKABLE
OMIM:618922,"Neurodevelopmental disorder with seizures, hypotonia, and brain imaging abnormalities",OMIM,32,32,0,0,0,0,21,496,164,332,164,2,0,0.001698,0.023783,RANKABLE
OMIM:607631,"Epilepsy, juvenile absence",OMIM,4,4,0,0,0,0,2,6,6,0,6,0,0,0.001274,0.001483,RANKABLE
OMIM:603457,Bosma arhinia microphthalmia syndrome,OMIM,28,28,0,0,0,0,16,378,95,283,95,0,0,0.001044,0.005886,RANKABLE
OMIM:206900,"Microphthalmia, syndromic 3",OMIM,37,37,0,0,0,0,26,666,151,515,151,0,0,0.001449,0.009649,RANKABLE
OMIM:615235,"Cardiomyopathy, dilated, 1JJ",OMIM,2,2,0,0,0,0,1,1,1,0,1,0,0,0.000040,0.000040,RANKABLE
OMIM:615553,"Arthrogryposis, impaired intellectual development, and seizures",OMIM,14,14,0,0,0,0,11,91,51,40,51,0,0,0.001429,0.004372,RANKABLE
OMIM:614895,"Charcot-Marie-Tooth disease, demyelinating, type 4F",OMIM,24,24,0,0,0,0,15,276,143,133,143,1,0,0.001204,0.010832,RANKABLE
OMIM:613122,"Cardiomyopathy, dilated, 1cc",OMIM,3,3,0,0,0,0,1,3,3,0,3,0,0,0.000249,0.000625,RANKABLE
OMIM:600638,"Fibrosis of extraocular muscles, congenital, 3A, with or without extraocularinvolvement",OMIM,19,19,0,0,0,0,11,171,59,112,59,3,3,0.009428,0.170872,RANKABLE
OMIM:618077,Inflammatory bowel disease 29,OMIM,2,2,0,0,0,0,0,1,1,0,1,1,0,0.040478,0.040478,RANKABLE
OMIM:608264,"Deafness, congenital neurosensory, autosomal recessive 40",OMIM,1,1,0,0,0,0,0,0,0,0,0,0,0,,,TERM_ONLY
OMIM:619369,Lymphatic malformation 10,OMIM,2,2,0,0,0,0,2,1,0,1,0,0,0,,,NO_INFORMATIVE_PAIRS
OMIM:618063,"Ciliary dyskinesia, primary, 38",OMIM,13,13,0,0,0,0,5,78,25,53,25,1,0,0.001996,0.031757,RANKABLE
OMIM:306900,Hemophilia B,OMIM,14,14,0,0,0,0,4,91,67,24,67,0,0,0.000876,0.001053,RANKABLE
OMIM:617350,"Epileptic encephalopathy, early infantile, 52",OMIM,13,13,0,0,0,0,10,78,67,11,67,0,0,0.001478,0.003974,RANKABLE
OMIM:607143,"Congenital disorder of glycosylation, type Ig",OMIM,48,48,0,0,0,0,28,1128,142,986,142,18,2,0.005638,0.115290,RANKABLE
OMIM:611721,Combined saposin deficiency,OMIM,15,15,0,0,0,0,11,105,39,66,39,0,0,0.001093,0.004135,RANKABLE
